source_path,run_name,task_name,dtype,seed,variant,beta,nu,m,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lr_adam,lbfgs_steps,lbfgs_lr,lbfgs_max_iter,lbfgs_tolerance_grad,lbfgs_tolerance_change,lbfgs_line_search_fn,resample_every,best_l2_error,final_l2_error,best_step,final_step,elapsed_time,error,metrics_path,summary_path,main_parameter_name,main_parameter_value,missing_metrics,metrics_has_l2,is_valid,is_bad,bad_reason,quality_label
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_1,burgers_hard_nu_0p0001_fp32_1,burgers1d,fp32,1.0,burgers_hard_nu_0p0001,,0.0001,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.3910178542137146,0.3912387192249298,13100.0,13200.0,245.80210518836975,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_1/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp32_1/summary.json,nu,0.0001,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_0,burgers_hard_nu_0p0001_fp64_0,burgers1d,fp64,0.0,burgers_hard_nu_0p0001,,0.0001,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.4196625076909954,0.4196625076909954,13200.0,13200.0,1366.87890291214,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_0/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_0/summary.json,nu,0.0001,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_1,burgers_hard_nu_0p0001_fp64_1,burgers1d,fp64,1.0,burgers_hard_nu_0p0001,,0.0001,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.4076916257378808,0.4076916257378808,13200.0,13200.0,1366.918872833252,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_1/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0001_fp64_1/summary.json,nu,0.0001,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_0,burgers_hard_nu_0p0002_fp32_0,burgers1d,fp32,0.0,burgers_hard_nu_0p0002,,0.0002,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.4087599515914917,0.4087599515914917,13200.0,13200.0,247.31963109970093,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_0/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_0/summary.json,nu,0.0002,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_1,burgers_hard_nu_0p0002_fp32_1,burgers1d,fp32,1.0,burgers_hard_nu_0p0002,,0.0002,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.3857518434524536,0.3857518434524536,13200.0,13200.0,244.95575165748596,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_1/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp32_1/summary.json,nu,0.0002,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_0,burgers_hard_nu_0p0002_fp64_0,burgers1d,fp64,0.0,burgers_hard_nu_0p0002,,0.0002,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.4130772609295357,0.41307726092953573,13200.0,13200.0,1367.2647511959076,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_0/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_0/summary.json,nu,0.0002,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_1,burgers_hard_nu_0p0002_fp64_1,burgers1d,fp64,1.0,burgers_hard_nu_0p0002,,0.0002,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.4044342354120777,0.4051140724926518,13100.0,13200.0,1365.6750845909119,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_1/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0002_fp64_1/summary.json,nu,0.0002,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_0,burgers_hard_nu_0p0005_fp32_0,burgers1d,fp32,0.0,burgers_hard_nu_0p0005,,0.0005,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.4007019400596618,63256514560.0,12200.0,13200.0,249.06929564476013,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_0/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_0/summary.json,nu,0.0005,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_1,burgers_hard_nu_0p0005_fp32_1,burgers1d,fp32,1.0,burgers_hard_nu_0p0005,,0.0005,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.3703256249427795,0.37032562494277954,13200.0,13200.0,247.87604522705078,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_1/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp32_1/summary.json,nu,0.0005,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_0,burgers_hard_nu_0p0005_fp64_0,burgers1d,fp64,0.0,burgers_hard_nu_0p0005,,0.0005,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.3948493217426745,0.39484932174267456,13200.0,13200.0,1365.8839800357819,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_0/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_0/summary.json,nu,0.0005,False,True,True,True,high_best_l2,bad
results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_1,burgers_hard_nu_0p0005_fp64_1,burgers1d,fp64,1.0,burgers_hard_nu_0p0005,,0.0005,,,96.0,5.0,10000.0,800.0,800.0,12000.0,0.0005,1200.0,,,,,,0.0,0.3730345486275325,0.3750501033786133,12400.0,13200.0,1366.682519197464,,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_1/metrics.csv,results_exp_3_burgers1d_low_nu/runs/burgers_hard_nu_0p0005_fp64_1/summary.json,nu,0.0005,False,True,True,True,high_best_l2,bad
